Name,Path,Search Terms,Category
background_underwater_05.png,Backgrounds/Underwater/BG-Underwater-05.png,"landscape,background,blue,sea,ocean,ship,treasure,anchor,underwater",backgrounds
background_underwater_11.png,Backgrounds/Underwater/BG-Underwater-11.png,"landscape,background,sea,underwater,blue",backgrounds
background_underwater_17.png,Backgrounds/Underwater/BG-Underwater-17.png,"landscape,background,sea,underwater,blue",backgrounds
background_landscape03.png,Backgrounds/Landscape/BG-Landscape03.png,"landscape,background,sea,underwater,green,cave",backgrounds
background_landscape01.png,Backgrounds/Landscape/BG-Landscape01.png,"background,cave,brown,icicle,landscape,rock",backgrounds
background_landscape04.png,Backgrounds/Landscape/BG-Landscape04.png,"background,cave,blue,gem,geode,rock,landscape",backgrounds
background_landscape05.png,Backgrounds/Landscape/BG-Landscape05.png,"background,landscape,green,forrest,rainforest",backgrounds
background_landscape26.png,Backgrounds/Landscape/BG-Landscape26.png,"background,landscape,sea,mountains,clouds,blue",backgrounds
background_landscape27.png,Backgrounds/Landscape/BG-Landscape27.png,"background,landscape,mountains,snow,white,winter",backgrounds
background_landscape07.png,Backgrounds/Landscape/BG-Landscape07.png,"background,landscape,trees,sunset",backgrounds
background_landscape02.png,Backgrounds/Landscape/BG-Landscape02.png,"background,lava,volcano,landscape,red,fire",backgrounds
background_landscape09.png,Backgrounds/Landscape/BG-Landscape09.png,"landscape,background,saturn,outerspace,purple,space",backgrounds
background_landscape28.png,Backgrounds/Landscape/BG-Landscape28.png,"landscape,background,snow,river,tree,evergreen,winter",backgrounds
background_landscape11.png,Backgrounds/Landscape/BG-Landscape11.png,"landscape,background,brown,red,outerspace,moon,stars",backgrounds
gradient_33.png,Backgrounds/Gradient/Gradient-33.png,"background,purple,rainbow,gradient,blue,yellow,pink",backgrounds
gradient_18.png,Backgrounds/Gradient/Gradient-18.png,"background,gradient,purple",backgrounds
gradient_05.png,Backgrounds/Gradient/Gradient-05.png,"background,gradient,purple,pink",backgrounds
gradient_23.png,Backgrounds/Gradient/Gradient-23.png,"background,gradient,purple",backgrounds
gradient_08.png,Backgrounds/Gradient/Gradient-08.png,"background,gradientblue",backgrounds
gradient_10.png,Backgrounds/Gradient/Gradient-10.png,"background,gradient,green,yellow",backgrounds
gradient_29.png,Backgrounds/Gradient/Gradient-29.png,"background,gradient,purple,pink",backgrounds
gradient_06.png,Backgrounds/Gradient/Gradient-06.png,"background,gradient,peach,pink,yellow",backgrounds
gradient_34.png,Backgrounds/Gradient/Gradient-34.png,"background,gradient,orange,pink,green,yellow",backgrounds
gradient_26.png,Backgrounds/Gradient/Gradient-26.png,"background,gradient,blue,purple,pink",backgrounds
gradient_31.png,Backgrounds/Gradient/Gradient-31.png,"background,gradient,blue,purple,",backgrounds
gradient_14.png,Backgrounds/Gradient/Gradient-14.png,"background,gradient,pink,purple",backgrounds
gradient_12.png,Backgrounds/Gradient/Gradient-12.png,"background,gradient,blue",backgrounds
gradient_02.png,Backgrounds/Gradient/Gradient-02.png,"background,gradient,blue",backgrounds
gradient_16.png,Backgrounds/Gradient/Gradient-16.png,"background,gradient,pink,orange",backgrounds
